state,sa4_code,Age,Sex,Indig,Educ,LFS_Status,Count
NSW,1,25-29 years,Fema,Non-Indigenous,Degree = No,employed,2457
NSW,1,25-29 years,Fema,Non-Indigenous,Degree = No,unemployed,155
NSW,1,25-29 years,Fema,Non-Indigenous,Degree = Yes,employed,1138
NSW,1,25-29 years,Fema,Non-Indigenous,Degree = Yes,unemployed,40
NSW,1,25-29 years,Fema,Not stated,Degree = No,employed,7
NSW,1,25-29 years,Fema,Yes Indigenous,Degree = No,employed,79
NSW,1,25-29 years,Fema,Yes Indigenous,Degree = No,unemployed,22
NSW,1,25-29 years,Fema,Yes Indigenous,Degree = Yes,employed,22
NSW,1,25-29 years,Male,Non-Indigenous,Degree = No,employed,3387
NSW,1,25-29 years,Male,Non-Indigenous,Degree = No,unemployed,208
NSW,1,25-29 years,Male,Non-Indigenous,Degree = Yes,employed,594
NSW,1,25-29 years,Male,Non-Indigenous,Degree = Yes,unemployed,24
NSW,1,25-29 years,Male,Not stated,Degree = No,employed,23
NSW,1,25-29 years,Male,Yes Indigenous,Degree = No,employed,122
NSW,1,25-29 years,Male,Yes Indigenous,Degree = No,unemployed,11
NSW,1,25-29 years,Male,Yes Indigenous,Degree = Yes,employed,5
NSW,1,30-34 years,Fema,Non-Indigenous,Degree = No,employed,2494
NSW,1,30-34 years,Fema,Non-Indigenous,Degree = No,unemployed,141
NSW,1,30-34 years,Fema,Non-Indigenous,Degree = Yes,employed,1456
NSW,1,30-34 years,Fema,Non-Indigenous,Degree = Yes,unemployed,43
NSW,1,30-34 years,Fema,Not stated,Degree = No,employed,25
NSW,1,30-34 years,Fema,Not stated,Degree = Yes,employed,6
NSW,1,30-34 years,Fema,Yes Indigenous,Degree = No,employed,117
NSW,1,30-34 years,Fema,Yes Indigenous,Degree = No,unemployed,20
NSW,1,30-34 years,Fema,Yes Indigenous,Degree = Yes,employed,15
NSW,1,30-34 years,Male,Non-Indigenous,Degree = No,employed,3459
NSW,1,30-34 years,Male,Non-Indigenous,Degree = No,unemployed,165
NSW,1,30-34 years,Male,Non-Indigenous,Degree = Yes,employed,909
NSW,1,30-34 years,Male,Non-Indigenous,Degree = Yes,unemployed,29
NSW,1,30-34 years,Male,Not stated,Degree = No,employed,20
NSW,1,30-34 years,Male,Not stated,Degree = Yes,employed,4
NSW,1,30-34 years,Male,Yes Indigenous,Degree = No,employed,94
NSW,1,30-34 years,Male,Yes Indigenous,Degree = No,unemployed,23
NSW,1,30-34 years,Male,Yes Indigenous,Degree = Yes,employed,9
NSW,1,35-39 years,Fema,Non-Indigenous,Degree = No,employed,2663
NSW,1,35-39 years,Fema,Non-Indigenous,Degree = No,unemployed,138
NSW,1,35-39 years,Fema,Non-Indigenous,Degree = Yes,employed,1589
NSW,1,35-39 years,Fema,Non-Indigenous,Degree = Yes,unemployed,25
NSW,1,35-39 years,Fema,Not stated,Degree = No,employed,12
NSW,1,35-39 years,Fema,Yes Indigenous,Degree = No,employed,88
NSW,1,35-39 years,Fema,Yes Indigenous,Degree = No,unemployed,8
NSW,1,35-39 years,Fema,Yes Indigenous,Degree = Yes,employed,15
NSW,1,35-39 years,Male,Non-Indigenous,Degree = No,employed,3352
NSW,1,35-39 years,Male,Non-Indigenous,Degree = No,unemployed,144
NSW,1,35-39 years,Male,Non-Indigenous,Degree = Yes,employed,897
NSW,1,35-39 years,Male,Non-Indigenous,Degree = Yes,unemployed,29
NSW,1,35-39 years,Male,Not stated,Degree = No,employed,6
NSW,1,35-39 years,Male,Not stated,Degree = Yes,employed,6
NSW,1,35-39 years,Male,Yes Indigenous,Degree = No,employed,103
NSW,1,35-39 years,Male,Yes Indigenous,Degree = No,unemployed,23
NSW,1,35-39 years,Male,Yes Indigenous,Degree = Yes,employed,3
NSW,1,40-44 years,Fema,Non-Indigenous,Degree = No,employed,3352
NSW,1,40-44 years,Fema,Non-Indigenous,Degree = No,unemployed,154
NSW,1,40-44 years,Fema,Non-Indigenous,Degree = Yes,employed,1742
NSW,1,40-44 years,Fema,Non-Indigenous,Degree = Yes,unemployed,32
NSW,1,40-44 years,Fema,Not stated,Degree = No,employed,27
NSW,1,40-44 years,Fema,Not stated,Degree = Yes,employed,11
NSW,1,40-44 years,Fema,Yes Indigenous,Degree = No,employed,93
NSW,1,40-44 years,Fema,Yes Indigenous,Degree = No,unemployed,25
NSW,1,40-44 years,Fema,Yes Indigenous,Degree = Yes,employed,26
NSW,1,40-44 years,Male,Non-Indigenous,Degree = No,employed,4066
NSW,1,40-44 years,Male,Non-Indigenous,Degree = No,unemployed,165
NSW,1,40-44 years,Male,Non-Indigenous,Degree = Yes,employed,1217
NSW,1,40-44 years,Male,Non-Indigenous,Degree = Yes,unemployed,14
NSW,1,40-44 years,Male,Not stated,Degree = No,employed,27
NSW,1,40-44 years,Male,Not stated,Degree = No,unemployed,4
NSW,1,40-44 years,Male,Yes Indigenous,Degree = No,employed,112
NSW,1,40-44 years,Male,Yes Indigenous,Degree = No,unemployed,23
NSW,1,40-44 years,Male,Yes Indigenous,Degree = Yes,employed,11
NSW,1,45-49 years,Fema,Non-Indigenous,Degree = No,employed,4140
NSW,1,45-49 years,Fema,Non-Indigenous,Degree = No,unemployed,140
NSW,1,45-49 years,Fema,Non-Indigenous,Degree = Yes,employed,1762
NSW,1,45-49 years,Fema,Non-Indigenous,Degree = Yes,unemployed,27
NSW,1,45-49 years,Fema,Not stated,Degree = No,employed,18
NSW,1,45-49 years,Fema,Not stated,Degree = Yes,employed,6
NSW,1,45-49 years,Fema,Yes Indigenous,Degree = No,employed,99
NSW,1,45-49 years,Fema,Yes Indigenous,Degree = No,unemployed,5
NSW,1,45-49 years,Fema,Yes Indigenous,Degree = Yes,employed,26
NSW,1,45-49 years,Fema,Yes Indigenous,Degree = Yes,unemployed,5
NSW,1,45-49 years,Male,Non-Indigenous,Degree = No,employed,4431
NSW,1,45-49 years,Male,Non-Indigenous,Degree = No,unemployed,171
NSW,1,45-49 years,Male,Non-Indigenous,Degree = Yes,employed,1191
NSW,1,45-49 years,Male,Non-Indigenous,Degree = Yes,unemployed,23
NSW,1,45-49 years,Male,Not stated,Degree = No,employed,26
NSW,1,45-49 years,Male,Not stated,Degree = No,unemployed,6
NSW,1,45-49 years,Male,Not stated,Degree = Yes,employed,3
NSW,1,45-49 years,Male,Yes Indigenous,Degree = No,employed,111
NSW,1,45-49 years,Male,Yes Indigenous,Degree = No,unemployed,4
NSW,1,45-49 years,Male,Yes Indigenous,Degree = Yes,employed,12
NSW,1,50-54 years,Fema,Non-Indigenous,Degree = No,employed,4306
NSW,1,50-54 years,Fema,Non-Indigenous,Degree = No,unemployed,143
NSW,1,50-54 years,Fema,Non-Indigenous,Degree = Yes,employed,1429
NSW,1,50-54 years,Fema,Non-Indigenous,Degree = Yes,unemployed,37
NSW,1,50-54 years,Fema,Not stated,Degree = No,employed,27
NSW,1,50-54 years,Fema,Not stated,Degree = Yes,employed,13
NSW,1,50-54 years,Fema,Yes Indigenous,Degree = No,employed,85
NSW,1,50-54 years,Fema,Yes Indigenous,Degree = Yes,employed,16
NSW,1,50-54 years,Male,Non-Indigenous,Degree = No,employed,4789
NSW,1,50-54 years,Male,Non-Indigenous,Degree = No,unemployed,198
NSW,1,50-54 years,Male,Non-Indigenous,Degree = Yes,employed,1109
NSW,1,50-54 years,Male,Non-Indigenous,Degree = Yes,unemployed,25
NSW,1,50-54 years,Male,Not stated,Degree = No,employed,41
NSW,1,50-54 years,Male,Not stated,Degree = No,unemployed,3
NSW,1,50-54 years,Male,Yes Indigenous,Degree = No,employed,90
NSW,1,50-54 years,Male,Yes Indigenous,Degree = No,unemployed,3
NSW,1,50-54 years,Male,Yes Indigenous,Degree = Yes,employed,7
NSW,1,55-59 years,Fema,Non-Indigenous,Degree = No,employed,3755
NSW,1,55-59 years,Fema,Non-Indigenous,Degree = No,unemployed,142
NSW,1,55-59 years,Fema,Non-Indigenous,Degree = Yes,employed,1345
NSW,1,55-59 years,Fema,Non-Indigenous,Degree = Yes,unemployed,20
NSW,1,55-59 years,Fema,Not stated,Degree = No,employed,17
NSW,1,55-59 years,Fema,Yes Indigenous,Degree = No,employed,52
NSW,1,55-59 years,Fema,Yes Indigenous,Degree = Yes,employed,27
NSW,1,55-59 years,Male,Non-Indigenous,Degree = No,employed,4520
NSW,1,55-59 years,Male,Non-Indigenous,Degree = No,unemployed,208
NSW,1,55-59 years,Male,Non-Indigenous,Degree = Yes,employed,997
NSW,1,55-59 years,Male,Non-Indigenous,Degree = Yes,unemployed,36
NSW,1,55-59 years,Male,Not stated,Degree = No,employed,47
NSW,1,55-59 years,Male,Not stated,Degree = Yes,employed,4
NSW,1,55-59 years,Male,Yes Indigenous,Degree = No,employed,56
NSW,1,55-59 years,Male,Yes Indigenous,Degree = No,unemployed,5
NSW,1,55-59 years,Male,Yes Indigenous,Degree = Yes,employed,5
NSW,1,60-64 years,Fema,Non-Indigenous,Degree = No,employed,2514
NSW,1,60-64 years,Fema,Non-Indigenous,Degree = No,unemployed,103
NSW,1,60-64 years,Fema,Non-Indigenous,Degree = Yes,employed,871
NSW,1,60-64 years,Fema,Non-Indigenous,Degree = Yes,unemployed,32
NSW,1,60-64 years,Fema,Not stated,Degree = No,employed,13
NSW,1,60-64 years,Fema,Yes Indigenous,Degree = No,employed,39
NSW,1,60-64 years,Fema,Yes Indigenous,Degree = No,unemployed,3
