state,sa4_code,Age,Sex,Indig,Educ,unemployed,employed,total
NSW,1,25-29 years,Fema,Non-Indigenous,Degree = No,155,2457,2612
NSW,1,25-29 years,Fema,Non-Indigenous,Degree = Yes,40,1138,1178
NSW,1,25-29 years,Fema,Not stated,Degree = No,0,7,7
NSW,1,25-29 years,Fema,Yes Indigenous,Degree = No,22,79,101
NSW,1,25-29 years,Fema,Yes Indigenous,Degree = Yes,0,22,22
NSW,1,25-29 years,Male,Non-Indigenous,Degree = No,208,3387,3595
NSW,1,25-29 years,Male,Non-Indigenous,Degree = Yes,24,594,618
NSW,1,25-29 years,Male,Not stated,Degree = No,0,23,23
NSW,1,25-29 years,Male,Yes Indigenous,Degree = No,11,122,133
NSW,1,25-29 years,Male,Yes Indigenous,Degree = Yes,0,5,5
NSW,1,30-34 years,Fema,Non-Indigenous,Degree = No,141,2494,2635
NSW,1,30-34 years,Fema,Non-Indigenous,Degree = Yes,43,1456,1499
NSW,1,30-34 years,Fema,Not stated,Degree = No,0,25,25
NSW,1,30-34 years,Fema,Not stated,Degree = Yes,0,6,6
NSW,1,30-34 years,Fema,Yes Indigenous,Degree = No,20,117,137
NSW,1,30-34 years,Fema,Yes Indigenous,Degree = Yes,0,15,15
NSW,1,30-34 years,Male,Non-Indigenous,Degree = No,165,3459,3624
NSW,1,30-34 years,Male,Non-Indigenous,Degree = Yes,29,909,938
NSW,1,30-34 years,Male,Not stated,Degree = No,0,20,20
NSW,1,30-34 years,Male,Not stated,Degree = Yes,0,4,4
NSW,1,30-34 years,Male,Yes Indigenous,Degree = No,23,94,117
NSW,1,30-34 years,Male,Yes Indigenous,Degree = Yes,0,9,9
NSW,1,35-39 years,Fema,Non-Indigenous,Degree = No,138,2663,2801
NSW,1,35-39 years,Fema,Non-Indigenous,Degree = Yes,25,1589,1614
NSW,1,35-39 years,Fema,Not stated,Degree = No,0,12,12
NSW,1,35-39 years,Fema,Yes Indigenous,Degree = No,8,88,96
NSW,1,35-39 years,Fema,Yes Indigenous,Degree = Yes,0,15,15
NSW,1,35-39 years,Male,Non-Indigenous,Degree = No,144,3352,3496
NSW,1,35-39 years,Male,Non-Indigenous,Degree = Yes,29,897,926
NSW,1,35-39 years,Male,Not stated,Degree = No,0,6,6
NSW,1,35-39 years,Male,Not stated,Degree = Yes,0,6,6
NSW,1,35-39 years,Male,Yes Indigenous,Degree = No,23,103,126
NSW,1,35-39 years,Male,Yes Indigenous,Degree = Yes,0,3,3
